Study Name	Tungsten_Calibration
Sample Name	2024-04-25
Run Name	spot00
Operator	Angus
Date	4/25/2024
Time	11:07
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	2
dt	50.000001E-12
time stamp (ms)	11:08:54 AM
	
Time	Amplitude
0.000000E+0	-4.135058E-3
5.000000E-11	-4.030568E-3
1.000000E-10	-3.962050E-3
1.500000E-10	-3.924365E-3
2.000000E-10	-3.917513E-3
2.500000E-10	-3.963763E-3
3.000000E-10	-4.075104E-3
3.500000E-10	-4.222418E-3
4.000000E-10	-4.342325E-3
4.500000E-10	-4.422833E-3
5.000000E-10	-4.515332E-3
5.500000E-10	-4.616397E-3
6.000000E-10	-4.662646E-3
6.500000E-10	-4.642091E-3
7.000000E-10	-4.621535E-3
7.500000E-10	-4.590702E-3
8.000000E-10	-4.487925E-3
8.500000E-10	-4.345750E-3
9.000000E-10	-4.254964E-3
9.500000E-10	-4.213853E-3
1.000000E-9	-4.191585E-3
1.050000E-9	-4.191585E-3
1.100000E-9	-4.236122E-3
1.150000E-9	-4.320056E-3
1.200000E-9	-4.421120E-3
1.250000E-9	-4.518758E-3
1.300000E-9	-4.597554E-3
1.350000E-9	-4.657507E-3
1.400000E-9	-4.700331E-3
1.450000E-9	-4.726025E-3
1.500000E-9	-4.744868E-3
1.550000E-9	-4.748294E-3
1.600000E-9	-4.720886E-3
1.650000E-9	-4.678063E-3
1.700000E-9	-4.647230E-3
1.750000E-9	-4.624961E-3
1.800000E-9	-4.600980E-3
1.850000E-9	-4.585563E-3
1.900000E-9	-4.597554E-3
1.950000E-9	-4.600980E-3
2.000000E-9	-4.573573E-3
2.050000E-9	-4.547879E-3
2.100000E-9	-4.553017E-3
2.150000E-9	-4.551304E-3
2.200000E-9	-4.525610E-3
2.250000E-9	-4.518758E-3
2.300000E-9	-4.549591E-3
2.350000E-9	-4.575286E-3
2.400000E-9	-4.595841E-3
2.450000E-9	-4.624961E-3
2.500000E-9	-4.633526E-3
2.550000E-9	-4.599267E-3
2.600000E-9	-4.556443E-3
2.650000E-9	-4.532462E-3
2.700000E-9	-4.503342E-3
2.750000E-9	-4.453666E-3
2.800000E-9	-4.402278E-3
2.850000E-9	-4.344037E-3
2.900000E-9	-4.266955E-3
2.950000E-9	-4.184733E-3
3.000000E-9	-4.121354E-3
3.050000E-9	-4.104224E-3
3.100000E-9	-4.128206E-3
3.150000E-9	-4.184733E-3
3.200000E-9	-4.253251E-3
3.250000E-9	-4.328621E-3
3.300000E-9	-4.403991E-3
3.350000E-9	-4.453666E-3
3.400000E-9	-4.486212E-3
3.450000E-9	-4.529036E-3
3.500000E-9	-4.561582E-3
3.550000E-9	-4.547879E-3
3.600000E-9	-4.499916E-3
3.650000E-9	-4.465657E-3
3.700000E-9	-4.446814E-3
3.750000E-9	-4.453666E-3
3.800000E-9	-4.498203E-3
3.850000E-9	-4.549591E-3
3.900000E-9	-4.580425E-3
3.950000E-9	-4.595841E-3
4.000000E-9	-4.631813E-3
4.050000E-9	-4.672924E-3
4.100000E-9	-4.683202E-3
4.150000E-9	-4.660933E-3
4.200000E-9	-4.612971E-3
4.250000E-9	-4.556443E-3
4.300000E-9	-4.518758E-3
4.350000E-9	-4.498203E-3
4.400000E-9	-4.486212E-3
4.450000E-9	-4.477648E-3
4.500000E-9	-4.467370E-3
4.550000E-9	-4.453666E-3
4.600000E-9	-4.457092E-3
4.650000E-9	-4.474222E-3
4.700000E-9	-4.482786E-3
4.750000E-9	-4.493064E-3
4.800000E-9	-4.508481E-3
4.850000E-9	-4.496490E-3
4.900000E-9	-4.441676E-3
4.950000E-9	-4.385148E-3
5.000000E-9	-4.328621E-3
5.050000E-9	-4.256677E-3
5.100000E-9	-4.193298E-3
5.150000E-9	-4.135058E-3
5.200000E-9	-4.059688E-3
5.250000E-9	-3.998022E-3
5.300000E-9	-3.977466E-3
5.350000E-9	-3.965476E-3
5.400000E-9	-3.932929E-3
5.450000E-9	-3.903809E-3
5.500000E-9	-3.890106E-3
5.550000E-9	-3.862699E-3
5.600000E-9	-3.816449E-3
5.650000E-9	-3.763347E-3
5.700000E-9	-3.725663E-3
5.750000E-9	-3.723950E-3
5.800000E-9	-3.741079E-3
5.850000E-9	-3.770199E-3
5.900000E-9	-3.828440E-3
5.950000E-9	-3.924365E-3
6.000000E-9	-4.051123E-3
6.050000E-9	-4.203576E-3
6.100000E-9	-4.380009E-3
6.150000E-9	-4.556443E-3
6.200000E-9	-4.707183E-3
6.250000E-9	-4.808247E-3
6.300000E-9	-4.856210E-3
6.350000E-9	-4.869913E-3
6.400000E-9	-4.864774E-3
6.450000E-9	-4.847645E-3
6.500000E-9	-4.806534E-3
6.550000E-9	-4.761997E-3
6.600000E-9	-4.719174E-3
6.650000E-9	-4.669498E-3
6.700000E-9	-4.607832E-3
6.750000E-9	-4.551304E-3
6.800000E-9	-4.511907E-3
6.850000E-9	-4.467370E-3
6.900000E-9	-4.407417E-3
6.950000E-9	-4.354315E-3
7.000000E-9	-4.302927E-3
7.050000E-9	-4.237835E-3
7.100000E-9	-4.181307E-3
7.150000E-9	-4.155613E-3
7.200000E-9	-4.141909E-3
7.250000E-9	-4.143622E-3
7.300000E-9	-4.191585E-3
7.350000E-9	-4.282371E-3
7.400000E-9	-4.386861E-3
7.450000E-9	-4.482786E-3
7.500000E-9	-4.554730E-3
7.550000E-9	-4.590702E-3
7.600000E-9	-4.600980E-3
7.650000E-9	-4.590702E-3
7.700000E-9	-4.535888E-3
7.750000E-9	-4.443389E-3
7.800000E-9	-4.337186E-3
7.850000E-9	-4.242973E-3
7.900000E-9	-4.152187E-3
7.950000E-9	-4.032281E-3
8.000000E-9	-3.915800E-3
8.050000E-9	-3.917513E-3
8.100000E-9	-4.010012E-3
8.150000E-9	-4.032281E-3
8.200000E-9	-4.015151E-3
8.250000E-9	-4.107650E-3
8.300000E-9	-4.244686E-3
8.350000E-9	-4.265242E-3
8.400000E-9	-4.224131E-3
8.450000E-9	-4.210427E-3
8.500000E-9	-4.167604E-3
8.550000E-9	-4.148761E-3
8.600000E-9	-4.254964E-3
8.650000E-9	-4.357741E-3
8.700000E-9	-4.356028E-3
8.750000E-9	-4.415981E-3
8.800000E-9	-4.570147E-3
8.850000E-9	-4.614684E-3
8.900000E-9	-4.592415E-3
8.950000E-9	-4.666072E-3
9.000000E-9	-4.755145E-3
9.050000E-9	-4.768849E-3
9.100000E-9	-4.827089E-3
9.150000E-9	-4.868200E-3
9.200000E-9	-4.700331E-3
9.250000E-9	-4.465657E-3
9.300000E-9	-4.385148E-3
9.350000E-9	-4.349176E-3
9.400000E-9	-4.258390E-3
9.450000E-9	-4.200150E-3
9.500000E-9	-4.140196E-3
9.550000E-9	-3.987744E-3
9.600000E-9	-3.922652E-3
9.650000E-9	-4.040845E-3
9.700000E-9	-4.114502E-3
9.750000E-9	-4.121354E-3
9.800000E-9	-4.273807E-3
9.850000E-9	-4.481073E-3
9.900000E-9	-4.520471E-3
9.950000E-9	-4.475935E-3
1.000000E-8	-4.506768E-3
1.005000E-8	-4.565008E-3
1.010000E-8	-4.606119E-3
1.015000E-8	-4.568434E-3
1.020000E-8	-4.350889E-3
1.025000E-8	-4.099086E-3
1.030000E-8	-4.044271E-3
1.035000E-8	-4.068253E-3
1.040000E-8	-3.972327E-3
1.045000E-8	-3.896958E-3
1.050000E-8	-3.956911E-3
1.055000E-8	-4.008299E-3
1.060000E-8	-4.037419E-3
1.065000E-8	-4.162465E-3
1.070000E-8	-4.328621E-3
1.075000E-8	-4.433111E-3
1.080000E-8	-4.571860E-3
1.085000E-8	-4.760284E-3
1.090000E-8	-4.857922E-3
1.095000E-8	-4.851071E-3
1.100000E-8	-4.868200E-3
1.105000E-8	-4.900746E-3
1.110000E-8	-4.864774E-3
1.115000E-8	-4.797969E-3
1.120000E-8	-4.775701E-3
1.125000E-8	-4.717461E-3
1.130000E-8	-4.534175E-3
1.135000E-8	-4.366306E-3
1.140000E-8	-4.356028E-3
1.145000E-8	-4.381722E-3
1.150000E-8	-4.284084E-3
1.155000E-8	-4.174455E-3
1.160000E-8	-4.210427E-3
1.165000E-8	-4.297788E-3
1.170000E-8	-4.320056E-3
1.175000E-8	-4.354315E-3
1.180000E-8	-4.465657E-3
1.185000E-8	-4.565008E-3
1.190000E-8	-4.600980E-3
1.195000E-8	-4.674637E-3
1.200000E-8	-4.832228E-3
1.205000E-8	-5.024079E-3
1.210000E-8	-5.284447E-3
1.215000E-8	-5.710972E-3
1.220000E-8	-6.329347E-3
1.225000E-8	-7.160127E-3
1.230000E-8	-8.306091E-3
1.235000E-8	-9.840894E-3
1.240000E-8	-1.177139E-2
1.245000E-8	-1.409072E-2
1.250000E-8	-1.681431E-2
1.255000E-8	-1.991989E-2
1.260000E-8	-2.327042E-2
1.265000E-8	-2.666035E-2
1.270000E-8	-2.997320E-2
1.275000E-8	-3.316956E-2
1.280000E-8	-3.611755E-2
1.285000E-8	-3.866642E-2
1.290000E-8	-4.080075E-2
1.295000E-8	-4.255310E-2
1.300000E-8	-4.385666E-2
1.305000E-8	-4.469086E-2
1.310000E-8	-4.516364E-2
1.315000E-8	-4.530924E-2
1.320000E-8	-4.515336E-2
1.325000E-8	-4.466688E-2
1.330000E-8	-4.384638E-2
1.335000E-8	-4.269185E-2
